,flow,batch,epochs,logdet,ndim,lr,nRMSE
0,60,50,30,1.0,2,0.001,0.9851102141117692
1,60,100,5,1.5,2,0.001,0.967403520727871
2,20,800,10,1.0,300,0.001,0.9983752272368266
3,20,200,5,1.0,2,0.001,0.9999999999725774
4,10,200,50,1.0,300,0.001,2.696488082859354
5,60,50,30,1.5,2,0.001,0.9851993636260806
6,40,100,30,1.0,2,0.001,0.999850286611151
7,60,100,30,1.5,2,0.001,0.9726146561154865
8,60,200,30,1.0,2,0.001,0.9674715081710566
9,60,100,10,1.5,2,0.001,1.0
10,40,200,30,1.5,2,0.001,0.965568832890116
11,40,50,30,1.0,2,0.001,0.9632276031751493
12,20,2,2,1.0,300,0.001,0.999999625990457
13,40,50,30,1.5,2,0.001,0.9618298565503922
14,60,200,30,1.5,2,0.001,0.9667794817468992
15,10,4,2,1.0,300,0.001,0.9999093688295657
16,60,50,10,1.0,2,0.001,1.0
17,40,100,30,1.5,2,0.001,0.9998101265061339
18,20,100,5,1.5,2,0.001,0.9999999928628214
19,60,20,30,1.5,2,0.001,0.9863223682270864
20,40,20,30,1.0,2,0.001,0.9830053348488124
21,10,2,2,1.0,300,0.001,0.5923066790273522
22,60,100,30,1.0,2,0.001,0.9720562637167166
23,60,100,5,2.0,2,0.001,0.9674565351447305
24,20,4,2,1.0,300,0.001,0.9999999998518704
25,40,20,30,1.5,2,0.001,0.9828524382300615
26,40,200,30,1.0,2,0.001,0.9663747192371366
27,60,20,30,1.0,2,0.001,0.9859462081176127
